,brand,model,variant_url,variant_title,variant_id
0,acura,acura adx,https://www.auto-data.net/en/acura-adx-generation-10407,2025 Acura ADX,10407
1,acura,acura cl ii,https://www.auto-data.net/en/acura-cl-ii-generation-7196,2001 Acura CL II,7196
2,acura,acura cl,https://www.auto-data.net/en/acura-cl-generation-304,1997 Acura CL,304
3,acura,"acura csx (facelift, 2009)",https://www.auto-data.net/en/acura-csx-facelift-2009-generation-7197,"2010 Acura CSX (facelift, 2009)",7197
4,acura,acura csx,https://www.auto-data.net/en/acura-csx-generation-313,2006 Acura CSX,313
5,acura,acura el,https://www.auto-data.net/en/acura-el-generation-321,1997 Acura EL,321
6,acura,acura ilx (facelift 2019),https://www.auto-data.net/en/acura-ilx-facelift-2019-generation-6588,2019 Acura ILX (facelift 2019),6588
7,acura,acura ilx (facelift 2016),https://www.auto-data.net/en/acura-ilx-facelift-2016-generation-5908,2016 Acura ILX (facelift 2016),5908
8,acura,acura ilx,https://www.auto-data.net/en/acura-ilx-generation-4032,2013 Acura ILX,4032
9,acura,acura integra v,https://www.auto-data.net/en/acura-integra-v-generation-8792,2023 Acura Integra V,8792
10,acura,acura integra iii sedan,https://www.auto-data.net/en/acura-integra-iii-sedan-generation-5642,1994 Acura Integra III Sedan,5642
11,acura,acura integra iii coupe,https://www.auto-data.net/en/acura-integra-iii-coupe-generation-5641,1994 Acura Integra III Coupe,5641
12,acura,acura integra ii sedan,https://www.auto-data.net/en/acura-integra-ii-sedan-generation-5638,1990 Acura Integra II Sedan,5638
13,acura,acura integra ii hatchback,https://www.auto-data.net/en/acura-integra-ii-hatchback-generation-5635,1990 Acura Integra II Hatchback,5635
14,acura,acura integra i,https://www.auto-data.net/en/acura-integra-i-generation-5633,1986 Acura Integra I,5633
15,acura,acura mdx iv (facelift 2024),https://www.auto-data.net/en/acura-mdx-iv-facelift-2024-generation-10091,2025 Acura MDX IV (facelift 2024),10091
16,acura,acura mdx iv,https://www.auto-data.net/en/acura-mdx-iv-generation-8021,2022 Acura MDX IV,8021
17,acura,acura mdx iii (facelift 2017),https://www.auto-data.net/en/acura-mdx-iii-facelift-2017-generation-5995,2017 Acura MDX III (facelift 2017),5995
18,acura,acura mdx iii,https://www.auto-data.net/en/acura-mdx-iii-generation-5997,2014 Acura MDX III,5997
19,acura,acura mdx ii,https://www.auto-data.net/en/acura-mdx-ii-generation-314,2007 Acura MDX II,314
20,acura,acura mdx,https://www.auto-data.net/en/acura-mdx-generation-315,2001 Acura MDX,315
21,acura,acura nsx ii,https://www.auto-data.net/en/acura-nsx-ii-generation-5712,2016 Acura NSX II,5712
22,acura,acura nsx i (facelift 2002),https://www.auto-data.net/en/acura-nsx-i-facelift-2002-generation-7198,2002 Acura NSX I (facelift 2002),7198
23,acura,acura nsx-t,https://www.auto-data.net/en/acura-nsx-t-generation-323,1995 Acura NSX-T,323
24,acura,acura nsx i,https://www.auto-data.net/en/acura-nsx-i-generation-322,1990 Acura NSX I,322
25,acura,acura rdx iii (facelift 2021),https://www.auto-data.net/en/acura-rdx-iii-facelift-2021-generation-8591,2022 Acura RDX III (facelift 2021),8591
26,acura,acura rdx iii,https://www.auto-data.net/en/acura-rdx-iii-generation-6188,2019 Acura RDX III,6188
27,acura,acura rdx ii (facelift 2016),https://www.auto-data.net/en/acura-rdx-ii-facelift-2016-generation-5910,2016 Acura RDX II (facelift 2016),5910
28,acura,acura rdx ii,https://www.auto-data.net/en/acura-rdx-ii-generation-4034,2013 Acura RDX II,4034
29,acura,acura rdx i (facelift 2009),https://www.auto-data.net/en/acura-rdx-i-facelift-2009-generation-5918,2010 Acura RDX I (facelift 2009),5918
30,acura,acura rdx i,https://www.auto-data.net/en/acura-rdx-i-generation-305,2007 Acura RDX I,305
31,acura,acura rl ii,https://www.auto-data.net/en/acura-rl-ii-generation-316,2005 Acura RL II,316
32,acura,acura rl (ka964),https://www.auto-data.net/en/acura-rl-ka964-generation-317,1996 Acura RL (KA964),317
33,acura,acura rlx (facelift 2017),https://www.auto-data.net/en/acura-rlx-facelift-2017-generation-5993,2018 Acura RLX (facelift 2017),5993
34,acura,acura rlx,https://www.auto-data.net/en/acura-rlx-generation-4025,2014 Acura RLX,4025
35,acura,acura rsx,https://www.auto-data.net/en/acura-rsx-generation-306,2002 Acura RSX,306
36,acura,acura slx,https://www.auto-data.net/en/acura-slx-generation-318,1996 Acura SLX,318
37,acura,acura tl iv (facelift 2012),https://www.auto-data.net/en/acura-tl-iv-facelift-2012-generation-4026,2012 Acura TL IV (facelift 2012),4026
38,acura,acura tl iv (ua8/9),https://www.auto-data.net/en/acura-tl-iv-ua8-9-generation-309,2009 Acura TL IV (UA8/9),309
39,acura,acura tl iii (ua6/7),https://www.auto-data.net/en/acura-tl-iii-ua6-7-generation-310,2004 Acura TL III (UA6/7),310
40,acura,acura tl ii (ua5),https://www.auto-data.net/en/acura-tl-ii-ua5-generation-311,1999 Acura TL II (UA5),311
41,acura,acura tl i (ua2),https://www.auto-data.net/en/acura-tl-i-ua2-generation-312,1996 Acura TL I (UA2),312
42,acura,acura tlx ii (facelift 2023),https://www.auto-data.net/en/acura-tlx-ii-facelift-2023-generation-9734,2024 Acura TLX II (facelift 2023),9734
43,acura,acura tlx ii,https://www.auto-data.net/en/acura-tlx-ii-generation-8017,2021 Acura TLX II,8017
44,acura,acura tlx i (facelift 2017),https://www.auto-data.net/en/acura-tlx-i-facelift-2017-generation-5553,2018 Acura TLX I (facelift 2017),5553
45,acura,acura tlx i,https://www.auto-data.net/en/acura-tlx-i-generation-5552,2015 Acura TLX I,5552
46,acura,acura tsx (facelift),https://www.auto-data.net/en/acura-tsx-facelift-generation-4031,2011 Acura TSX (facelift),4031
47,acura,acura tsx sport wagon,https://www.auto-data.net/en/acura-tsx-sport-wagon-generation-4030,2011 Acura TSX Sport Wagon,4030
48,acura,acura tsx ii (cu2),https://www.auto-data.net/en/acura-tsx-ii-cu2-generation-319,2009 Acura TSX II (Cu2),319
49,acura,acura tsx i (cl9),https://www.auto-data.net/en/acura-tsx-i-cl9-generation-320,2004 Acura TSX I (CL9),320
50,acura,acura zdx ii,https://www.auto-data.net/en/acura-zdx-ii-generation-9901,2024 Acura ZDX II,9901
51,acura,acura zdx i,https://www.auto-data.net/en/acura-zdx-i-generation-4033,2010 Acura ZDX I,4033
52,alfa,"alfa romeo 145 (930, facelift 1999)",https://www.auto-data.net/en/alfa-romeo-145-930-facelift-1999-generation-5420,"1999 Alfa Romeo 145 (930, facelift 1999)",5420
